	mcwl [m]    	eta_mean [m]	No.waves    	Hmean [m]   	Tmean [s]   	Lmean [m]   	Hs [m]      	T_s [s]     	L_s [m]     	T_Hs [s]    	L_Hs [m]    	Hrms [m]    	Hrms_std [m]	Hmax [m]    	T_Hmax [s]  	Lmax [m]    	Sxx_TL2nd [J]	Sxx_TL_eta [J]	Sxx_P18 [J] 	Sxx_P22 [J] 	eta_TL2nd [m]	eta_P18 [m] 	eta_P22 [m] 	h0 [m]      	d [m]       	Hmean/h0    	Hs/h0       	Hrms/h0     
06	0.0021649027	-0.0036637983	92.0000000000	0.0860391547	2.9992506920	6.8437752595	0.0872311802	3.0016401583	6.8497231827	3.0218061557	6.8999052436	0.0860466236	0.1142309895	0.0882555234	3.0054673440	6.8592490908	12.0910874719	12.0910874719	13.9823208686	16.4059231525	-0.0036637983	-0.0036637983	-0.0036637983	0.5800000000	0.5763362017	0.1483433702	0.1503985865	0.1483562475
07	0.0018730335	-0.0028356765	92.0000000000	0.0969625842	2.9999974954	6.0785429959	0.0994156978	3.0007892608	6.0802586211	3.0186204948	6.1188881841	0.0969867072	0.1328858571	0.1017241669	2.9932735331	6.0639720833	15.7806337656	7.4136864650	18.1612483758	21.3091980943	-0.0043170230	-0.0044036667	-0.0045319105	0.4479867987	0.4451511221	0.2164407177	0.2219165790	0.2164945652
08	-0.0038236487	-0.0018056398	92.0000000000	0.0976567084	2.9999749660	6.0468165026	0.0998436861	3.0019678339	6.0511089326	3.0202576438	6.0904947387	0.0976767600	0.1317676097	0.1031727739	3.0201939141	6.0903575279	16.0237939814	2.9200837727	18.3179546785	21.4930668228	-0.0043729470	-0.0044397143	-0.0045742186	0.4429862986	0.4411806588	0.2204508552	0.2253877522	0.2204961199
09	0.0057021076	-0.0028165868	92.0000000000	0.0975539800	3.0000601441	6.0151020389	0.0999776013	3.0002636713	6.0155377828	3.0197692165	6.0572896876	0.0975772095	0.1331292518	0.1036307558	3.0146480451	6.0463294058	16.0065950478	7.2910690995	18.3671254756	21.5507605581	-0.0043689458	-0.0044511551	-0.0045876467	0.4379857986	0.4351692118	0.2227332036	0.2282667648	0.2227862407
10	0.0022897314	-0.0043408209	92.0000000000	0.0997597037	2.9992584921	5.4484396295	0.1022182267	3.0093729966	5.4678152521	3.0293737088	5.5061192770	0.0997839022	0.1269080585	0.1044772863	3.0118265462	5.4725148298	17.0246097235	13.7915326442	19.1996120088	22.5275447570	-0.0046085053	-0.0046470932	-0.0048176198	0.3549774977	0.3506366768	0.2810310636	0.2879569193	0.2810992326
11	-0.0037212408	-0.0034411819	92.0000000000	0.0995615557	2.9999338909	5.4132929936	0.1021595652	3.0107808048	5.4339168569	3.0325529630	5.4753021240	0.0995904592	0.1256082503	0.1047940286	3.0102228978	5.4328561689	16.9749057821	10.7000974857	19.1775816034	22.5016957479	-0.0045940299	-0.0046406766	-0.0048100872	0.3499769977	0.3465358158	0.2844802839	0.2919036562	0.2845628708
12	0.0052951723	-0.0042248364	92.0000000000	0.0970803125	2.9998812634	5.3764470087	0.0999038674	3.0047020721	5.3855445134	3.0409070218	5.4538447475	0.0971174532	0.1261835552	0.1058738468	2.9979593183	5.3728198375	16.1557873262	13.3614797481	18.3400438163	21.5189847445	-0.0043520322	-0.0043932037	-0.0045195765	0.3449764976	0.3407516613	0.2814113805	0.2895961553	0.2815190422
13	0.0027113670	-0.0054844726	92.0000000000	0.1020180903	2.9995964691	4.7915798629	0.1045963184	2.9925355557	4.7798334827	3.0281916019	4.8391388820	0.1020420053	0.1335833166	0.1070289606	2.9541679021	4.7159862458	18.1114049126	17.5679481761	20.1033560558	23.5879377722	-0.0049378649	-0.0049214924	-0.0051396654	0.2709690969	0.2654846243	0.3764934507	0.3860082925	0.3765817077
14	-0.0020456269	-0.0047417698	93.0000000000	0.0994546291	2.9681560509	4.6971660457	0.1032283585	2.9920797627	4.7365898269	3.0387977621	4.8135406653	0.0999935871	0.1333385558	0.1063929875	2.9748262288	4.7081590695	17.2103326376	15.6355840403	19.5809523612	22.9749841039	-0.0045922499	-0.0047211318	-0.0049043826	0.2659685969	0.2612268271	0.3739337286	0.3881223564	0.3759601256
15	0.0044355111	-0.0055196087	92.0000000000	0.1020363990	2.9994841950	4.7057310938	0.1046743769	2.9935668749	4.6960777347	3.0568613410	4.7992972700	0.1020618429	0.1376205053	0.1070735491	3.0127578519	4.7273827254	18.1546203911	17.6269082424	20.1333728421	23.6231574681	-0.0049608909	-0.0049368979	-0.0051577259	0.2609680968	0.2554484881	0.3909918503	0.4011002807	0.3910893483
