tipo,variable,test,stat_F,p_value,k_grupos,n_total,grupo_i,grupo_j,n_i,n_j,t_stat,p_raw,p_adj_bonf,chi2,gl,bins
Reg,H [m],ANOVA_oneway,19.7648962276711,4.026686900308268e-08,3.0,120.0,,,,,,,,,,
Reg,H [m],Welch_t,,,,,H10T12,H10T25,40.0,40.0,-5.260535351839592,1.6478844538705372e-06,4.9436533616116115e-06,,,
Reg,H [m],Welch_t,,,,,H10T12,H10T30,40.0,40.0,-6.2575651379586565,2.996893432586743e-08,8.990680297760229e-08,,,
Reg,H [m],Welch_t,,,,,H10T25,H10T30,40.0,40.0,-0.7061308732285307,0.48221397790575393,1.0,,,
Reg,H [m],Chi2_independence,,2.9657701965910577e-10,,,,,,,,,,61.0,8.0,5.0
Reg,eta_bar [m],ANOVA_oneway,3.7241345140362627,0.02704111430272965,3.0,120.0,,,,,,,,,,
Reg,eta_bar [m],Welch_t,,,,,H10T12,H10T25,40.0,40.0,2.0806292349289137,0.04265009409643622,0.12795028228930866,,,
Reg,eta_bar [m],Welch_t,,,,,H10T12,H10T30,40.0,40.0,2.856741630187451,0.006347349781468445,0.019042049344405336,,,
Reg,eta_bar [m],Welch_t,,,,,H10T25,H10T30,40.0,40.0,0.8017259232660826,0.42519107769196574,1.0,,,
Reg,eta_bar [m],Chi2_independence,,5.5213763672061445e-09,,,,,,,,,,54.5,8.0,5.0
